站点编号,时间,出力(MW)
f1,2023-5-1 0:00,5.6685399966859755
f1,2023-5-1 0:15,5.73416951143073
f1,2023-5-1 0:30,6.168910620577396
f1,2023-5-1 0:45,6.1144142823808885
f1,2023-5-1 1:00,6.774834689732394
f1,2023-5-1 1:15,7.74417245762012
f1,2023-5-1 1:30,7.525403145746691
f1,2023-5-1 1:45,6.69483917207892
f1,2023-5-1 2:00,6.931130169589619
f1,2023-5-1 2:15,6.6793449991439955
f1,2023-5-1 2:30,6.865285237595771
f1,2023-5-1 2:45,7.028097300590397
f1,2023-5-1 3:00,7.31198945517687
f1,2023-5-1 3:15,7.379977725921917
f1,2023-5-1 3:30,7.201056915436689
f1,2023-5-1 3:45,7.364197097167191
f1,2023-5-1 4:00,7.768051880049571
f1,2023-5-1 4:15,8.022925613146711
f1,2023-5-1 4:30,8.861370378322672
f1,2023-5-1 4:45,8.262173660367484
f1,2023-5-1 5:00,8.502498931312559
f1,2023-5-1 5:15,8.360928322001106
f1,2023-5-1 5:30,8.332704611939604
f1,2023-5-1 5:45,7.7564116809584895
f1,2023-5-1 6:00,7.692014487473922
f1,2023-5-1 6:15,7.852957117557507
f1,2023-5-1 6:30,8.043113766767995
f1,2023-5-1 6:45,8.329399376446597
f1,2023-5-1 7:00,8.38679897852689
f1,2023-5-1 7:15,8.668950931632697
f1,2023-5-1 7:30,8.647686030466419
f1,2023-5-1 7:45,8.648761817526768
f1,2023-5-1 8:00,8.702885535635428
f1,2023-5-1 8:15,8.531672304989431
f1,2023-5-1 8:30,7.928383442762389
f1,2023-5-1 8:45,7.68218173768417
f1,2023-5-1 9:00,8.068437806986097
f1,2023-5-1 9:15,8.200579363018553
f1,2023-5-1 9:30,8.064618587682634
f1,2023-5-1 9:45,8.206407878525816
f1,2023-5-1 10:00,7.6586486652101256
f1,2023-5-1 10:15,7.451504292369006
f1,2023-5-1 10:30,6.608337331063842
f1,2023-5-1 10:45,6.00900288629179
f1,2023-5-1 11:00,6.064560690060883
f1,2023-5-1 11:15,5.830744804908866
f1,2023-5-1 11:30,6.208702173244422
f1,2023-5-1 11:45,6.58293254715491
f1,2023-5-1 12:00,7.299989453614969
f1,2023-5-1 12:15,7.763388101708045
f1,2023-5-1 12:30,8.11612628976468
f1,2023-5-1 12:45,7.795265615410436
f1,2023-5-1 13:00,7.925245761868834
f1,2023-5-1 13:15,7.370177953533049
f1,2023-5-1 13:30,7.671891395088469
f1,2023-5-1 13:45,7.4528853553401
f1,2023-5-1 14:00,7.948683765405461
f1,2023-5-1 14:15,8.26811114075072
f1,2023-5-1 14:30,8.92412507396958
f1,2023-5-1 14:45,9.186552132444017
f1,2023-5-1 15:00,9.781875065833674
f1,2023-5-1 15:15,9.28272146636813
f1,2023-5-1 15:30,8.37779229375597
f1,2023-5-1 15:45,8.053973133281206
f1,2023-5-1 16:00,8.002577442436747
f1,2023-5-1 16:15,8.382947338619395
f1,2023-5-1 16:30,8.673160224102663
f1,2023-5-1 16:45,8.728937725905382
f1,2023-5-1 17:00,8.815044817362601
f1,2023-5-1 17:15,9.467447243104964
f1,2023-5-1 17:30,9.442714109414409
f1,2023-5-1 17:45,9.616571092169558
f1,2023-5-1 18:00,9.698283579640893
f1,2023-5-1 18:15,10.020676482146104
f1,2023-5-1 18:30,10.077600650500365
f1,2023-5-1 18:45,10.648234706303935
f1,2023-5-1 19:00,11.163517724107887
f1,2023-5-1 19:15,11.38370371278226
f1,2023-5-1 19:30,11.80633484085596
f1,2023-5-1 19:45,11.835957503897001
f1,2023-5-1 20:00,11.419720990096117
f1,2023-5-1 20:15,11.691899685754342
f1,2023-5-1 20:30,11.584437369924538
f1,2023-5-1 20:45,11.42946759633667
f1,2023-5-1 21:00,11.412602872943367
f1,2023-5-1 21:15,11.261273274790243
f1,2023-5-1 21:30,11.301799306050526
f1,2023-5-1 21:45,11.335433001729378
f1,2023-5-1 22:00,11.452194532691982
f1,2023-5-1 22:15,11.713334966908374
f1,2023-5-1 22:30,11.709351231882556
f1,2023-5-1 22:45,11.746787560861097
f1,2023-5-1 23:00,11.587054500174816
f1,2023-5-1 23:15,12.019302726719935
f1,2023-5-1 23:30,13.301610365973632
f1,2023-5-1 23:45,14.230175077734494
f1,2023-5-2 0:00,15.433763605425476
f1,2023-5-2 0:15,16.584798335045672
f1,2023-5-2 0:30,16.979292225829017
f1,2023-5-2 0:45,17.35222888428183
f1,2023-5-2 1:00,19.30315952106102
f1,2023-5-2 1:15,19.479918733984626
f1,2023-5-2 1:30,19.69059927745414
f1,2023-5-2 1:45,20.4432055460479
f1,2023-5-2 2:00,20.25662850665361
f1,2023-5-2 2:15,20.773387863877105
f1,2023-5-2 2:30,21.308150628679112
f1,2023-5-2 2:45,21.274498646381378
f1,2023-5-2 3:00,20.19570453656062
f1,2023-5-2 3:15,19.691285074128977
f1,2023-5-2 3:30,19.944480586348128
f1,2023-5-2 3:45,20.25532429620541
f1,2023-5-2 4:00,20.654280665726933
f1,2023-5-2 4:15,21.459285355729975
f1,2023-5-2 4:30,21.652307228410837
f1,2023-5-2 4:45,21.0305535304668
f1,2023-5-2 5:00,20.53861817815841
f1,2023-5-2 5:15,20.459895455614692
f1,2023-5-2 5:30,20.399483737974677
f1,2023-5-2 5:45,20.32588966851224
f1,2023-5-2 6:00,20.51256725929448
f1,2023-5-2 6:15,20.4754986150612
f1,2023-5-2 6:30,20.64803563051224
f1,2023-5-2 6:45,20.564481149887918
f1,2023-5-2 7:00,20.202107048930287
f1,2023-5-2 7:15,19.44905111028272
f1,2023-5-2 7:30,18.88336327826295
f1,2023-5-2 7:45,19.276678863988224
f1,2023-5-2 8:00,20.874777465312178
f1,2023-5-2 8:15,21.492763657302817
f1,2023-5-2 8:30,21.878104345719112
f1,2023-5-2 8:45,21.44518048283001
f1,2023-5-2 9:00,21.746146602772317
f1,2023-5-2 9:15,21.14452052361917
f1,2023-5-2 9:30,21.484223111453677
f1,2023-5-2 9:45,20.97423068008872
f1,2023-5-2 10:00,20.508184432874955
f1,2023-5-2 10:15,19.484198122100366
f1,2023-5-2 10:30,18.124102527941627
f1,2023-5-2 10:45,18.09602520746166
f1,2023-5-2 11:00,18.526140195710035
f1,2023-5-2 11:15,18.4661722216111
f1,2023-5-2 11:30,18.01064492579205
f1,2023-5-2 11:45,17.756482175814142
f1,2023-5-2 12:00,17.71096130431067
f1,2023-5-2 12:15,19.37292615923157
f1,2023-5-2 12:30,18.982939705931805
f1,2023-5-2 12:45,18.795619380331694
f1,2023-5-2 13:00,18.961813388709338
f1,2023-5-2 13:15,18.742495593254915
f1,2023-5-2 13:30,18.107197228236824
f1,2023-5-2 13:45,18.21326163459956
f1,2023-5-2 14:00,17.88832998760149
f1,2023-5-2 14:15,16.28422986016717
f1,2023-5-2 14:30,16.031313261556058
f1,2023-5-2 14:45,15.171817221241284
f1,2023-5-2 15:00,15.167134598515583
f1,2023-5-2 15:15,14.918778768505716
f1,2023-5-2 15:30,14.914066825839909
f1,2023-5-2 15:45,14.841667812780571
f1,2023-5-2 16:00,14.63415490205638
f1,2023-5-2 16:15,14.518104929594369
f1,2023-5-2 16:30,14.358818860794402
f1,2023-5-2 16:45,14.206331698810466
f1,2023-5-2 17:00,14.099735376137485
f1,2023-5-2 17:15,14.79021577131248
f1,2023-5-2 17:30,14.636632813719828
f1,2023-5-2 17:45,14.888609493004356
f1,2023-5-2 18:00,15.017980781038926
f1,2023-5-2 18:15,14.969122490507283
f1,2023-5-2 18:30,14.865217430721597
f1,2023-5-2 18:45,14.966910894606677
f1,2023-5-2 19:00,14.727545897047115
f1,2023-5-2 19:15,14.952586353767119
f1,2023-5-2 19:30,14.731998256299208
f1,2023-5-2 19:45,14.620990537268902
f1,2023-5-2 20:00,14.175959430089662
f1,2023-5-2 20:15,13.79834915236518
f1,2023-5-2 20:30,13.696959619596793
f1,2023-5-2 20:45,13.810184633483061
f1,2023-5-2 21:00,13.38608775699926
f1,2023-5-2 21:15,13.936494741294737
f1,2023-5-2 21:30,15.103246319170168
f1,2023-5-2 21:45,15.085825161440674
f1,2023-5-2 22:00,14.942054415951201
f1,2023-5-2 22:15,15.67537936422512
f1,2023-5-2 22:30,15.453066328054883
f1,2023-5-2 22:45,14.498996602929072
f1,2023-5-2 23:00,13.856909781743859
f1,2023-5-2 23:15,13.443289507454638
f1,2023-5-2 23:30,12.615702428359274
f1,2023-5-2 23:45,10.614614634084326
f1,2023-5-3 0:00,10.642478447212987
f1,2023-5-3 0:15,10.572654133236952
f1,2023-5-3 0:30,10.739389788297935
f1,2023-5-3 0:45,10.912679202161367
f1,2023-5-3 1:00,10.783082828121877
f1,2023-5-3 1:15,10.398936357958801
f1,2023-5-3 1:30,10.16755950266023
f1,2023-5-3 1:45,10.026356413779098
f1,2023-5-3 2:00,9.799161785317267
f1,2023-5-3 2:15,9.76046632846907
f1,2023-5-3 2:30,10.489221511044473
f1,2023-5-3 2:45,10.377971040450992
f1,2023-5-3 3:00,9.63685154089316
f1,2023-5-3 3:15,9.418525251309912
f1,2023-5-3 3:30,9.351792519526004
f1,2023-5-3 3:45,8.348090302380108
f1,2023-5-3 4:00,8.048357411649988
f1,2023-5-3 4:15,7.5442803066182105
f1,2023-5-3 4:30,7.301409321920976
f1,2023-5-3 4:45,7.0875080702143
f1,2023-5-3 5:00,6.639874027452568
f1,2023-5-3 5:15,6.409225677194167
f1,2023-5-3 5:30,6.018905336536973
f1,2023-5-3 5:45,5.777781210266117
f1,2023-5-3 6:00,5.4593065679748545
f1,2023-5-3 6:15,5.087296111976082
f1,2023-5-3 6:30,4.690829244844871
f1,2023-5-3 6:45,4.553314036525082
f1,2023-5-3 7:00,4.144934040074004
f1,2023-5-3 7:15,3.96788907060938
f1,2023-5-3 7:30,3.620694248449831
f1,2023-5-3 7:45,3.6383260599099065
