站点编号,时间,出力(MW)
f1,2023-5-1 0:00,6.386948010342988
f1,2023-5-1 0:15,6.463070174215366
f1,2023-5-1 0:30,6.833530937288698
f1,2023-5-1 0:45,6.8823892111904446
f1,2023-5-1 1:00,7.432387296366197
f1,2023-5-1 1:15,8.17691580331006
f1,2023-5-1 1:30,8.066812219873345
f1,2023-5-1 1:45,7.51171224203946
f1,2023-5-1 2:00,7.694124721794809
f1,2023-5-1 2:15,7.530093959071998
f1,2023-5-1 2:30,7.6578751882978855
f1,2023-5-1 2:45,7.744637306795198
f1,2023-5-1 3:00,7.876120050588435
f1,2023-5-1 3:15,7.810763803960958
f1,2023-5-1 3:30,7.543294066718344
f1,2023-5-1 3:45,7.508118901083595
f1,2023-5-1 4:00,7.655862081024786
f1,2023-5-1 4:15,7.731838487073356
f1,2023-5-1 4:30,8.254151357661335
f1,2023-5-1 4:45,7.810269647183742
f1,2023-5-1 5:00,7.996337960656279
f1,2023-5-1 5:15,7.955796092000553
f1,2023-5-1 5:30,8.018015956969801
f1,2023-5-1 5:45,7.698442167479245
f1,2023-5-1 6:00,7.716778419736961
f1,2023-5-1 6:15,7.855877545778753
f1,2023-5-1 6:30,7.987997143383998
f1,2023-5-1 6:45,8.176167913723297
f1,2023-5-1 7:00,8.115315044263445
f1,2023-5-1 7:15,8.29135515631635
f1,2023-5-1 7:30,8.25942260623321
f1,2023-5-1 7:45,8.233487462763385
f1,2023-5-1 8:00,8.221764642817714
f1,2023-5-1 8:15,8.023450825994715
f1,2023-5-1 8:30,7.511586873881194
f1,2023-5-1 8:45,7.2604013238420855
f1,2023-5-1 9:00,7.481586712993049
f1,2023-5-1 9:15,7.563914293509276
f1,2023-5-1 9:30,7.477845811841317
f1,2023-5-1 9:45,7.5808885987629075
f1,2023-5-1 10:00,7.175075653105062
f1,2023-5-1 10:15,6.971797700184503
f1,2023-5-1 10:30,6.302560375031921
f1,2023-5-1 10:45,5.800210807145895
f1,2023-5-1 11:00,5.761549809530441
f1,2023-5-1 11:15,5.528130526454433
f1,2023-5-1 11:30,5.7388961441222115
f1,2023-5-1 11:45,5.971346240077455
f1,2023-5-1 12:00,6.475224560807485
f1,2023-5-1 12:15,6.871431884354022
f1,2023-5-1 12:30,7.19316250638234
f1,2023-5-1 12:45,7.041202837205218
f1,2023-5-1 13:00,7.199351453934417
f1,2023-5-1 13:15,6.919158794766524
f1,2023-5-1 13:30,7.249247869544234
f1,2023-5-1 13:45,7.22814493167005
f1,2023-5-1 14:00,7.723982591202731
f1,2023-5-1 14:15,8.11320193787536
f1,2023-5-1 14:30,8.739218484484791
f1,2023-5-1 14:45,9.068359529722008
f1,2023-5-1 15:00,9.584057521916836
f1,2023-5-1 15:15,9.287735997184065
f1,2023-5-1 15:30,8.642581703877985
f1,2023-5-1 15:45,8.372419598140603
f1,2023-5-1 16:00,8.292694426718374
f1,2023-5-1 16:15,8.543404838809698
f1,2023-5-1 16:30,8.752149161051332
f1,2023-5-1 16:45,8.817170356452692
f1,2023-5-1 17:00,8.9228320161813
f1,2023-5-1 17:15,9.444138214552481
f1,2023-5-1 17:30,9.504344437707203
f1,2023-5-1 17:45,9.71320109808478
f1,2023-5-1 18:00,9.864270574820445
f1,2023-5-1 18:15,10.187990001073052
f1,2023-5-1 18:30,10.323618535250182
f1,2023-5-1 18:45,10.810217713151967
f1,2023-5-1 19:00,11.249555332053944
f1,2023-5-1 19:15,11.44981494139113
f1,2023-5-1 19:30,11.78402619542798
f1,2023-5-1 19:45,11.8416374969485
f1,2023-5-1 20:00,11.591051820048058
f1,2023-5-1 20:15,11.83025863787717
f1,2023-5-1 20:30,11.80463571496227
f1,2023-5-1 20:45,11.738224208168335
f1,2023-5-1 21:00,11.752771211471686
f1,2023-5-1 21:15,11.656627197395123
f1,2023-5-1 21:30,11.681328448025262
f1,2023-5-1 21:45,11.69429111086469
f1,2023-5-1 22:00,11.77116702634599
f1,2023-5-1 22:15,11.969467208454187
f1,2023-5-1 22:30,11.997833130941277
f1,2023-5-1 22:45,12.067197950430547
f1,2023-5-1 23:00,12.008491405087408
f1,2023-5-1 23:15,12.382304633359968
f1,2023-5-1 23:30,13.382497382986816
f1,2023-5-1 23:45,14.167448278867248
f1,2023-5-2 0:00,15.157958672712738
f1,2023-5-2 0:15,16.093766257522837
f1,2023-5-2 0:30,16.479165582914508
f1,2023-5-2 0:45,16.837928892140916
f1,2023-5-2 1:00,18.305143795530512
f1,2023-5-2 1:15,18.549661906992313
f1,2023-5-2 1:30,18.83645122372707
f1,2023-5-2 1:45,19.51039913802395
f1,2023-5-2 2:00,19.519841713326805
f1,2023-5-2 2:15,19.998290986938553
f1,2023-5-2 2:30,20.451787134339554
f1,2023-5-2 2:45,20.456460463190687
f1,2023-5-2 3:00,19.66419711828031
f1,2023-5-2 3:15,19.203222332064488
f1,2023-5-2 3:30,19.234707233174063
f1,2023-5-2 3:45,19.310294388102704
f1,2023-5-2 4:00,19.491253377863465
f1,2023-5-2 4:15,20.026604767864985
f1,2023-5-2 4:30,20.18183593420542
f1,2023-5-2 4:45,19.7819831752334
f1,2023-5-2 5:00,19.454890699079204
f1,2023-5-2 5:15,19.340072952807347
f1,2023-5-2 5:30,19.23782514898734
f1,2023-5-2 5:45,19.13023725425612
f1,2023-5-2 6:00,19.21283894464724
f1,2023-5-2 6:15,19.143405062530597
f1,2023-5-2 6:30,19.25358774525612
f1,2023-5-2 6:45,19.22518784494396
f1,2023-5-2 7:00,19.005782719465145
f1,2023-5-2 7:15,18.59397139514136
f1,2023-5-2 7:30,18.354446099131476
f1,2023-5-2 7:45,18.808949446994113
f1,2023-5-2 8:00,20.110173472656086
f1,2023-5-2 8:15,20.708764363651408
f1,2023-5-2 8:30,21.111923787859556
f1,2023-5-2 8:45,20.892326261415008
f1,2023-5-2 9:00,21.11832389638616
f1,2023-5-2 9:15,20.633769921809588
f1,2023-5-2 9:30,20.75234061572684
f1,2023-5-2 9:45,20.25082363004436
f1,2023-5-2 10:00,19.784250071437476
f1,2023-5-2 10:15,18.954072161050185
f1,2023-5-2 10:30,17.916040658970815
f1,2023-5-2 10:45,17.83315048873083
f1,2023-5-2 11:00,18.089462837855017
f1,2023-5-2 11:15,18.016602805805547
f1,2023-5-2 11:30,17.673808677896027
f1,2023-5-2 11:45,17.47123617290707
f1,2023-5-2 12:00,17.406237482155333
f1,2023-5-2 12:15,18.522768204615787
f1,2023-5-2 12:30,18.1903256329659
f1,2023-5-2 12:45,17.988422555165847
f1,2023-5-2 13:00,18.021897704354668
f1,2023-5-2 13:15,17.773836461627457
f1,2023-5-2 13:30,17.233525954118413
f1,2023-5-2 13:45,17.22557270229978
f1,2023-5-2 14:00,16.944024898800745
f1,2023-5-2 14:15,15.805782535083583
f1,2023-5-2 14:30,15.644008190778028
f1,2023-5-2 14:45,15.074254790620643
f1,2023-5-2 15:00,15.103883869257793
f1,2023-5-2 15:15,14.949454554252858
f1,2023-5-2 15:30,14.945562532919954
f1,2023-5-2 15:45,14.870653786390285
f1,2023-5-2 16:00,14.67444050602819
f1,2023-5-2 16:15,14.517128064797184
f1,2023-5-2 16:30,14.3232303553972
f1,2023-5-2 16:45,14.150250939405232
f1,2023-5-2 17:00,14.047447283068742
f1,2023-5-2 17:15,14.554603580656241
f1,2023-5-2 17:30,14.506643411859914
f1,2023-5-2 17:45,14.754563246502178
f1,2023-5-2 18:00,14.904457620519462
f1,2023-5-2 18:15,14.899617775253642
f1,2023-5-2 18:30,14.8345835353608
f1,2023-5-2 18:45,14.906736267303337
f1,2023-5-2 19:00,14.750257218523558
f1,2023-5-2 19:15,14.93351786688356
f1,2023-5-2 19:30,14.814564288149604
f1,2023-5-2 19:45,14.766937388634451
f1,2023-5-2 20:00,14.465106185044831
f1,2023-5-2 20:15,14.17984717618259
f1,2023-5-2 20:30,14.065106574798396
f1,2023-5-2 20:45,14.08946363174153
f1,2023-5-2 21:00,13.73778118849963
f1,2023-5-2 21:15,14.077245940647368
f1,2023-5-2 21:30,14.859320194585084
f1,2023-5-2 21:45,14.824605125720337
f1,2023-5-2 22:00,14.7146466779756
f1,2023-5-2 22:15,15.22786084711256
f1,2023-5-2 22:30,15.05666659902744
f1,2023-5-2 22:45,14.328794386464537
f1,2023-5-2 23:00,13.747837850871932
f1,2023-5-2 23:15,13.246242063727319
f1,2023-5-2 23:30,12.423101569179636
f1,2023-5-2 23:45,10.803129682042163
f1,2023-5-3 0:00,10.675997193606493
f1,2023-5-3 0:15,10.580314411618476
f1,2023-5-3 0:30,10.720029134148968
f1,2023-5-3 0:45,10.893994861080683
f1,2023-5-3 1:00,10.847123719060939
f1,2023-5-3 1:15,10.5839798589794
f1,2023-5-3 1:30,10.397605811330116
f1,2023-5-3 1:45,10.26166676688955
f1,2023-5-3 2:00,10.071095762658635
f1,2023-5-3 2:15,10.032139989234535
f1,2023-5-3 2:30,10.543691975522236
f1,2023-5-3 2:45,10.466962195225495
f1,2023-5-3 3:00,9.93290698044658
f1,2023-5-3 3:15,9.735408850654956
f1,2023-5-3 3:30,9.622542795763003
f1,2023-5-3 3:45,8.846518227690055
f1,2023-5-3 4:00,8.570992369324994
f1,2023-5-3 4:15,8.171336638309105
f1,2023-5-3 4:30,7.970367247460487
f1,2023-5-3 4:45,7.79734163610715
f1,2023-5-3 5:00,7.458875449726284
f1,2023-5-3 5:15,7.259209210097083
f1,2023-5-3 5:30,6.9350347302684865
f1,2023-5-3 5:45,6.7042202926330585
f1,2023-5-3 6:00,6.410267725987428
f1,2023-5-3 6:15,6.062805772488041
f1,2023-5-3 6:30,5.694395137922436
f1,2023-5-3 6:45,5.512502788262541
f1,2023-5-3 7:00,5.094990682037002
f1,2023-5-3 7:15,4.85857808580469
f1,2023-5-3 7:30,4.507608618224916
f1,2023-5-3 7:45,4.426362104954953
f1,2023-5-3 8:00,4.156472728805501
f1,2023-5-3 8:15,3.9844078772595966
f1,2023-5-3 8:30,3.822889449642946
f1,2023-5-3 8:45,3.7408075900657245
f1,2023-5-3 9:00,3.652941187342878
f1,2023-5-3 9:15,3.17105853825176
f1,2023-5-3 9:30,2.470026483003558
f1,2023-5-3 9:45,1.6523051666757667
f1,2023-5-3 10:00,1.0497286986703926
f1,2023-5-3 10:15,1.0135128698179414
f1,2023-5-3 10:30,1.1145048621884672
f1,2023-5-3 10:45,0.41613746068650787
f1,2023-5-3 11:00,0.07702099306731824
f1,2023-5-3 11:15,0.0357924052771211
f1,2023-5-3 11:30,0.18919215331490546
f1,2023-5-3 11:45,0.11391157242567995
f1,2023-5-3 12:00,-0.08808674312451141
f1,2023-5-3 12:15,-0.02506048786610365
f1,2023-5-3 12:30,0.2009141771397927
f1,2023-5-3 12:45,0.575693165690146
f1,2023-5-3 13:00,0.6819711782318247
f1,2023-5-3 13:15,0.8622597432656134
f1,2023-5-3 13:30,1.0560319821497157
f1,2023-5-3 13:45,0.9756631274160661
f1,2023-5-3 14:00,1.134283457587174
f1,2023-5-3 14:15,1.2779555567940757
f1,2023-5-3 14:30,1.5498910782152244
f1,2023-5-3 14:45,1.9594562834252236
f1,2023-5-3 15:00,3.1283045875050735
f1,2023-5-3 15:15,3.6973327314232503
f1,2023-5-3 15:30,4.052291010199417
f1,2023-5-3 15:45,4.0234536928540825
f1,2023-5-3 16:00,4.426545257969607
f1,2023-5-3 16:15,4.80282587594313
f1,2023-5-3 16:30,5.319867255656508
f1,2023-5-3 16:45,6.453059691476117
f1,2023-5-3 17:00,6.9528905007446955
f1,2023-5-3 17:15,7.483649407378957
f1,2023-5-3 17:30,7.4550611509247116
f1,2023-5-3 17:45,8.17561249151533
f1,2023-5-3 18:00,8.249638155029892
f1,2023-5-3 18:15,8.350424829124833
f1,2023-5-3 18:30,8.614055679924626
f1,2023-5-3 18:45,8.621185343431595
f1,2023-5-3 19:00,8.758114386457203
f1,2023-5-3 19:15,8.699687667350357
f1,2023-5-3 19:30,9.02876204749628
f1,2023-5-3 19:45,9.378727031224404
f1,2023-5-3 20:00,9.64963830049425
f1,2023-5-3 20:15,9.133216566789526
f1,2023-5-3 20:30,9.187788323914425
f1,2023-5-3 20:45,8.891407884758856
f1,2023-5-3 21:00,8.237502173564941
f1,2023-5-3 21:15,7.966091187211498
f1,2023-5-3 21:30,8.019808303049604
f1,2023-5-3 21:45,8.14694220909647
f1,2023-5-3 22:00,8.177341053430975
f1,2023-5-3 22:15,7.89908976957671
f1,2023-5-3 22:30,7.586660421251887
f1,2023-5-3 22:45,7.25395561551385
f1,2023-5-3 23:00,7.275912070921622
f1,2023-5-3 23:15,7.101862280079674
f1,2023-5-3 23:30,7.176634209034452
f1,2023-5-3 23:45,7.299622411993261
f1,2023-5-4 0:00,7.21049049660405
f1,2023-5-4 0:15,7.145478821805831
f1,2023-5-4 0:30,7.134770475650577
f1,2023-5-4 0:45,6.645482156742899
f1,2023-5-4 1:00,6.399307605321806
f1,2023-5-4 1:15,6.5205769421780655
f1,2023-5-4 1:30,5.896158363163753
f1,2023-5-4 1:45,5.6933564944629484
f1,2023-5-4 2:00,5.426149977431197
f1,2023-5-4 2:15,4.944584538897985
f1,2023-5-4 2:30,4.712344896050748
f1,2023-5-4 2:45,4.412708831557446
f1,2023-5-4 3:00,4.233852974594396
f1,2023-5-4 3:15,4.115779485491364
f1,2023-5-4 3:30,4.042336268099776
f1,2023-5-4 3:45,4.0514236815985
f1,2023-5-4 4:00,3.853491251830691
f1,2023-5-4 4:15,3.569428903427082
f1,2023-5-4 4:30,3.680399385502061
f1,2023-5-4 4:45,3.6974242455306285
f1,2023-5-4 5:00,3.9899965960036265
f1,2023-5-4 5:15,4.247775787718959
f1,2023-5-4 5:30,4.5655540211472685
f1,2023-5-4 5:45,4.796493100252295
f1,2023-5-4 6:00,4.687652981900416
f1,2023-5-4 6:15,4.517457976598918
f1,2023-5-4 6:30,4.316453187880445
f1,2023-5-4 6:45,4.103074984589269
f1,2023-5-4 7:00,3.738094308122782
f1,2023-5-4 7:15,3.702098854411807
f1,2023-5-4 7:30,3.5910034488871942
f1,2023-5-4 7:45,3.5624378902859006
f1,2023-5-4 8:00,3.344351785709324
f1,2023-5-4 8:15,3.2211854555579054
f1,2023-5-4 8:30,3.097527458021972
f1,2023-5-4 8:45,3.096402226680895
f1,2023-5-4 9:00,3.0578086183371913
f1,2023-5-4 9:15,3.0746808846813036
