站点编号,时间,出力(MW)
f1,2023-5-1 0:00,7.105356024
f1,2023-5-1 0:15,7.191970837
f1,2023-5-1 0:30,7.498151254
f1,2023-5-1 0:45,7.65036414
f1,2023-5-1 1:00,8.089939903
f1,2023-5-1 1:15,8.609659149
f1,2023-5-1 1:30,8.608221294
f1,2023-5-1 1:45,8.328585312
f1,2023-5-1 2:00,8.457119274
f1,2023-5-1 2:15,8.380842919
f1,2023-5-1 2:30,8.450465139
f1,2023-5-1 2:45,8.461177313
f1,2023-5-1 3:00,8.440250646
f1,2023-5-1 3:15,8.241549882
f1,2023-5-1 3:30,7.885531218
f1,2023-5-1 3:45,7.652040705
f1,2023-5-1 4:00,7.543672282
f1,2023-5-1 4:15,7.440751361
f1,2023-5-1 4:30,7.646932337
f1,2023-5-1 4:45,7.358365634
f1,2023-5-1 5:00,7.49017699
f1,2023-5-1 5:15,7.550663862
f1,2023-5-1 5:30,7.703327302
f1,2023-5-1 5:45,7.640472654
f1,2023-5-1 6:00,7.741542352
f1,2023-5-1 6:15,7.858797974
f1,2023-5-1 6:30,7.93288052
f1,2023-5-1 6:45,8.022936451
f1,2023-5-1 7:00,7.84383111
f1,2023-5-1 7:15,7.913759381
f1,2023-5-1 7:30,7.871159182
f1,2023-5-1 7:45,7.818213108
f1,2023-5-1 8:00,7.74064375
f1,2023-5-1 8:15,7.515229347
f1,2023-5-1 8:30,7.094790305
f1,2023-5-1 8:45,6.83862091
f1,2023-5-1 9:00,6.894735619
f1,2023-5-1 9:15,6.927249224
f1,2023-5-1 9:30,6.891073036
f1,2023-5-1 9:45,6.955369319
f1,2023-5-1 10:00,6.691502641
f1,2023-5-1 10:15,6.492091108
f1,2023-5-1 10:30,5.996783419
f1,2023-5-1 10:45,5.591418728
f1,2023-5-1 11:00,5.458538929
f1,2023-5-1 11:15,5.225516248
f1,2023-5-1 11:30,5.269090115
f1,2023-5-1 11:45,5.359759933
f1,2023-5-1 12:00,5.650459668
f1,2023-5-1 12:15,5.979475667
f1,2023-5-1 12:30,6.270198723
f1,2023-5-1 12:45,6.287140059
f1,2023-5-1 13:00,6.473457146
f1,2023-5-1 13:15,6.468139636
f1,2023-5-1 13:30,6.826604344
f1,2023-5-1 13:45,7.003404508
f1,2023-5-1 14:00,7.499281417
f1,2023-5-1 14:15,7.958292735
f1,2023-5-1 14:30,8.554311895
f1,2023-5-1 14:45,8.950166927
f1,2023-5-1 15:00,9.386239978
f1,2023-5-1 15:15,9.292750528
f1,2023-5-1 15:30,8.907371114
f1,2023-5-1 15:45,8.690866063
f1,2023-5-1 16:00,8.582811411
f1,2023-5-1 16:15,8.703862339
f1,2023-5-1 16:30,8.831138098
f1,2023-5-1 16:45,8.905402987
f1,2023-5-1 17:00,9.030619215
f1,2023-5-1 17:15,9.420829186
f1,2023-5-1 17:30,9.565974766
f1,2023-5-1 17:45,9.809831104
f1,2023-5-1 18:00,10.03025757
f1,2023-5-1 18:15,10.35530352
f1,2023-5-1 18:30,10.56963642
