iter	RMSE
0	0.2904323874
1	0.2845119532
2	0.2787862871
3	0.2732755148
4	0.2679773987
5	0.2629057481
6	0.2579937018
7	0.2532845218
8	0.2487958201
9	0.2444734755
10	0.240356528
11	0.2363475869
12	0.2324449663
13	0.2287473842
14	0.2251470585
15	0.2216903418
16	0.2183793097
17	0.2151775163
18	0.2121103669
19	0.2091655576
20	0.2063461983
21	0.203634516
22	0.2010458952
23	0.1986206672
24	0.1962196911
25	0.1939472064
26	0.1918025243
27	0.1897374186
28	0.1877075902
29	0.1857816676
30	0.1839343953
31	0.1821955625
32	0.1804949307
33	0.178884754
34	0.1773035383
35	0.1758703192
36	0.1744911986
37	0.1730731286
38	0.1717091829
39	0.1704575312
40	0.1692755165
41	0.1680952096
42	0.166972849
43	0.1659728813
44	0.1649597308
45	0.1640183913
46	0.1631335411
47	0.1622817828
48	0.1614564832
49	0.1606651286
50	0.1599137
51	0.1591614471
52	0.1584779577
53	0.1578057525
54	0.157208061
55	0.156613682
56	0.1560037793
57	0.1554552492
58	0.1548559665
59	0.1543351639
60	0.1538124436
61	0.1533105442
62	0.1528745848
63	0.1524324706
64	0.1520221502
65	0.1516400136
66	0.151246775
67	0.1508800529
68	0.150542994
69	0.1501580583
70	0.1498060976
71	0.1494513246
72	0.1491705901
73	0.1488688056
74	0.1486010438
75	0.1483208065
76	0.1480587866
77	0.1478044274
78	0.147582359
79	0.1473568882
80	0.147139191
81	0.1469249615
82	0.1467255093
83	0.1465061443
84	0.1463101682
85	0.1460866231
86	0.1459105207
87	0.1457139955
88	0.1455566253
89	0.1453832441
90	0.1452223367
91	0.1450632114
92	0.1448621274
93	0.1446710092
94	0.144517683
95	0.1443845201
96	0.1442500543
97	0.1440930633
98	0.1439597142
99	0.1438350678
100	0.1437124926
101	0.1435589952
102	0.1434233867
103	0.143287387
104	0.1431810597
105	0.1430635017
106	0.1429387099
107	0.1428132448
108	0.1427096135
109	0.1425910305
110	0.1424666121
111	0.1423831332
112	0.142272043
113	0.1421725371
114	0.1420938514
115	0.1419842233
116	0.1418973429
117	0.1417815762
118	0.1416730481
119	0.1415833056
120	0.1414836395
121	0.141375164
122	0.1412704369
123	0.1412023657
124	0.1411092861
125	0.1410095598
126	0.1409343198
127	0.1408602812
128	0.1407878663
129	0.1407253233
130	0.140647337
131	0.1405366266
132	0.1404322284
133	0.1403526495
134	0.1402918187
135	0.1402159802
136	0.1401330931
137	0.1400549784
138	0.1399616409
139	0.1399066333
140	0.1398333604
141	0.1397733838
142	0.1397039652
143	0.1396396332
144	0.1395948872
145	0.1395343179
146	0.1394660412
147	0.1393816863
148	0.1393151898
149	0.1392289507
150	0.1391457448
151	0.1391037866
152	0.1390489051
153	0.1389995209
154	0.1389178606
155	0.1388423455
156	0.1387973248
157	0.1387380454
158	0.1386975422
159	0.1386519751
160	0.1386140868
161	0.1385335129
162	0.1384603134
163	0.1383946694
164	0.1383440604
165	0.1383033283
166	0.1382356606
167	0.1381681216
168	0.1380992509
169	0.1380402528
170	0.1379969395
171	0.1379509421
172	0.1378830098
173	0.1378352652
174	0.1377841114
175	0.1377201786
176	0.137666002
177	0.137593358
178	0.1375357712
179	0.1374567512
180	0.137405417
181	0.1373404161
182	0.1373156975
183	0.1372830566
184	0.1372382565
185	0.1371882155
186	0.1371346208
187	0.1370783944
188	0.1370389258
189	0.1369832752
190	0.1369575827
191	0.1369036067
192	0.1368622147
193	0.1368108365
194	0.136783095
195	0.1367402023
196	0.1366943547
197	0.1366435152
198	0.1366082103
199	0.1365483092
200	0.1365107979
201	0.1364575642
202	0.1364158953
203	0.1363797658
204	0.136321309
205	0.1362738849
206	0.1362178872
207	0.1361615129
208	0.1361246099
209	0.1360665048
210	0.1360300492
211	0.1359818156
212	0.1359359301
213	0.1358937511
214	0.1358635719
215	0.1358283448
216	0.1357792273
217	0.1357176424
218	0.1356484182
219	0.1356156418
220	0.1355987503
221	0.1355521635
222	0.1355081564
223	0.1354644849
224	0.1354361094
225	0.1353787569
226	0.1353397487
227	0.1352854384
228	0.1352301565
229	0.1351771947
230	0.1351348628
231	0.1350799068
232	0.1350331049
233	0.1349932623
234	0.1349413481
235	0.1349093673
236	0.1348884521
237	0.1348409548
238	0.1348109899
239	0.1347720934
240	0.1347280306
241	0.1346914396
242	0.1346539266
243	0.1346102792
244	0.1345508751
245	0.1345105486
246	0.134479466
247	0.1344354088
248	0.1343920849
249	0.1343573832
250	0.1343169614
251	0.134254226
252	0.1342255789
253	0.1341847354
254	0.1341491614
255	0.1341111609
256	0.1340877474
257	0.1340574918
258	0.1340169447
259	0.1339917552
260	0.1339526324
261	0.133923125
262	0.1338626881
263	0.1338071241
264	0.1337924381
265	0.1337492576
266	0.1337277556
267	0.1336789265
268	0.133651188
269	0.1336210789
270	0.1335804573
271	0.1335315436
272	0.1334994292
273	0.1334498385
274	0.1334057185
275	0.1333778893
276	0.1333311451
277	0.1333040452
278	0.1332582712
279	0.1332259269
280	0.1331833618
281	0.1331468725
282	0.1331329425
283	0.1330996201
284	0.133064993
285	0.1330212707
286	0.1329856001
287	0.1329383671
288	0.13291424
289	0.1328837207
290	0.1328378753
291	0.13279298
292	0.1327591732
293	0.1327260046
294	0.1327125817
295	0.1326618819
296	0.1326218712
297	0.1325825928
298	0.1325342057
299	0.1325082975
300	0.1324706343
301	0.1324276219
