iter	Passed	Remaining
0	109	108839
1	217	108491
2	324	107739
3	434	107946
4	540	107260
5	652	107916
6	765	108386
7	892	110490
8	1002	110166
9	1110	109737
10	1223	109767
11	1334	109671
12	1445	109506
13	1551	109028
14	1666	109225
15	1779	109238
16	1889	109014
17	1998	108786
18	2108	108629
19	2220	108603
20	2329	108394
21	2437	108148
22	2543	107836
23	2662	108034
24	2776	108042
25	2884	107846
26	2998	107826
27	3110	107743
28	3223	107708
29	3337	107688
30	3454	107758
31	3567	107703
32	3679	107607
33	3789	107441
34	3896	107210
35	4004	107006
36	4115	106882
37	4222	106670
38	4345	106847
39	4452	106630
40	4564	106533
41	4678	106491
42	4790	106404
43	4897	106179
44	5008	106073
45	5118	105931
46	5242	106074
47	5358	106057
48	5475	106053
49	5595	106081
50	5707	105982
51	5818	105854
52	5928	105709
53	6038	105558
54	6146	105380
55	6254	105203
56	6364	105067
57	6473	104916
58	6584	104789
59	6699	104733
60	6817	104727
61	6929	104607
62	7036	104429
63	7144	104272
64	7251	104093
65	7359	103925
66	7473	103842
67	7580	103679
68	7695	103616
69	7811	103560
70	7925	103475
71	8039	103393
72	8155	103345
73	8267	103238
74	8384	103183
75	8499	103113
76	8612	103018
77	8728	102948
78	8841	102848
79	8954	102749
80	9068	102664
81	9178	102531
82	9285	102367
83	9402	102304
84	9507	102117
85	9619	102009
86	9724	101824
87	9833	101683
88	9940	101524
89	10053	101425
90	10162	101294
91	10270	101141
92	10383	101044
93	10497	100957
94	10616	100915
95	10734	100859
96	10854	100823
97	10966	100714
98	11080	100617
99	11188	100475
100	11303	100388
101	11419	100309
102	11539	100271
103	11664	100268
104	11784	100221
105	11902	100159
106	12026	100143
107	12151	100133
108	12264	100025
109	12382	99958
110	12501	99899
111	12620	99834
112	12737	99756
113	12850	99649
114	12966	99563
115	13080	99456
116	13209	99468
117	13329	99408
118	13448	99337
119	13567	99265
120	13686	99200
121	13801	99100
122	13917	99003
123	14039	98957
124	14160	98894
125	14280	98828
126	14397	98743
127	14509	98615
128	14636	98596
129	14749	98478
130	14863	98374
131	14981	98288
132	15102	98223
133	15214	98097
134	15331	98007
135	15442	97877
136	15561	97796
137	15686	97755
138	15801	97649
139	15916	97546
140	16029	97428
141	16150	97354
142	16275	97314
143	16390	97203
144	16498	97059
145	16615	96959
146	16730	96854
147	16847	96758
148	16961	96645
149	17080	96559
150	17193	96444
151	17309	96341
152	17418	96202
153	17529	96072
154	17647	95979
155	17757	95843
156	17865	95700
157	17977	95574
158	18084	95424
159	18196	95302
160	18301	95145
161	18408	94998
162	18518	94862
163	18635	94770
164	18747	94646
165	18855	94506
166	18971	94402
167	19087	94301
168	19205	94208
169	19316	94080
170	19426	93949
171	19536	93820
172	19655	93732
173	19767	93610
174	19883	93510
175	19997	93398
176	20110	93280
177	20226	93177
178	20342	93077
179	20460	92979
180	20577	92881
181	20706	92835
182	20843	92829
183	20962	92734
184	21078	92632
185	21198	92543
186	21310	92423
187	21426	92315
188	21542	92210
189	21663	92126
190	21780	92024
191	21890	91894
192	22002	91773
193	22117	91660
194	22229	91541
195	22344	91428
196	22457	91313
197	22566	91176
198	22679	91061
199	22803	90985
200	22913	90854
201	23027	90742
202	23138	90617
203	23243	90465
204	23354	90340
205	23464	90214
206	23573	90082
207	23686	89962
208	23799	89844
209	23908	89712
210	24017	89582
211	24122	89436
212	24234	89313
213	24348	89200
214	24456	89066
215	24566	88938
216	24676	88813
217	24788	88691
218	24897	88561
219	25004	88425
220	25112	88292
221	25222	88163
222	25334	88045
223	25442	87914
224	25548	87771
225	25668	87680
226	25780	87563
227	25895	87452
228	26002	87318
229	26110	87186
230	26222	87067
231	26337	86958
232	26453	86853
233	26568	86745
234	26686	86647
235	26802	86539
236	26914	86420
237	27025	86300
238	27134	86170
239	27244	86046
240	27355	85926
241	27469	85815
242	27587	85715
243	27704	85611
244	27815	85491
245	27927	85373
246	28040	85256
247	28153	85140
248	28262	85015
249	28369	84881
250	28481	84763
251	28592	84643
252	28704	84526
253	28812	84395
254	28922	84273
255	29030	84144
256	29141	84023
257	29251	83899
258	29360	83774
259	29469	83646
260	29579	83525
261	29689	83401
262	29797	83273
263	29908	83155
264	30013	83017
265	30122	82892
266	30229	82761
267	30334	82627
268	30446	82510
269	30553	82381
270	30674	82288
271	30798	82203
272	30918	82110
273	31044	82030
274	31162	81929
275	31281	81829
276	31396	81720
277	31519	81633
278	31644	81549
279	31763	81450
280	31876	81336
281	31995	81237
282	32116	81141
283	32231	81031
284	32347	80926
285	32470	80836
286	32599	80759
287	32720	80664
288	32833	80550
289	32954	80453
290	33075	80357
291	33192	80252
292	33302	80130
293	33416	80018
294	33536	79918
295	33655	79817
296	33769	79705
297	33885	79596
298	34004	79494
299	34122	79391
300	34232	79270
301	34346	79156
302	34458	79039
303	34579	78941
304	34698	78839
305	34814	78731
306	34922	78605
307	35051	78523
308	35169	78420
309	35286	78312
310	35401	78202
311	35512	78081
312	35630	77977
313	35747	77870
314	35865	77766
315	35981	77657
316	36101	77555
317	36215	77442
318	36335	77341
319	36449	77227
320	36564	77116
321	36685	77016
322	36802	76909
323	36925	76815
324	37046	76713
325	37169	76618
326	37291	76520
327	37413	76423
328	37531	76317
329	37648	76209
330	37760	76091
331	37874	75976
332	37988	75862
333	38098	75740
334	38208	75618
335	38317	75493
336	38423	75364
337	38531	75239
338	38649	75133
339	38761	75015
340	38873	74897
341	38980	74770
342	39088	74644
343	39197	74520
344	39304	74393
345	39413	74270
346	39522	74147
347	39631	74025
348	39741	73903
349	39851	73782
350	39961	73660
351	40068	73534
352	40178	73413
353	40287	73291
354	40394	73165
